states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Goa,47.4,82.1,64.3,86.1,54.4,86.0,30,3,2013
Goa,45.1,77.0,58.5,86.0,57.0,85.1,30,4,2013
Goa,85.9,98.9,77.1,96.3,51.7,90.1,30,5,2014
Goa,71.2,97.6,56.9,91.1,63.3,92.5,30,6,2014
Goa,65.3,93.0,67.8,98.1,76.4,98.6,30,7,2015
Goa,43.3,71.8,33.0,68.3,36.5,67.0,30,11,2017
Goa,43.5,64.8,29.8,55.8,33.0,58.0,30,12,2017
Goa,36.5,43.5,34.8,39.0,38.3,43.3,30,13,2018
Goa,31.3,49.8,26.3,41.0,38.5,48.5,30,14,2018
Goa,40.8,54.0,33.3,46.8,36.5,50.5,30,15,2019
