Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
22,Gujarat,4,2013,54.5,75.9,62.5,76.9,69.2,81.3
22,Gujarat,5,2014,59.5,74.4,62.7,76.4,74.9,80.0
22,Gujarat,6,2014,74.9,81.6,49.6,65.8,65.6,79.5
22,Gujarat,7,2015,60.0,73.1,61.6,74.6,72.4,80.6
22,Gujarat,9,2016,31.5,58.4,24.4,46.6,25.7,53.4
22,Gujarat,10,2017,31.7,57.7,23.9,48.0,24.3,52.6
22,Gujarat,11,2017,26.0,44.0,19.8,35.4,25.3,43.1
22,Gujarat,12,2018,21.9,48.9,15.4,37.8,24.3,50.3
22,Gujarat,13,2018,22.3,52.8,13.2,41.4,21.2,53.8
22,Gujarat,14,2019,29.5,53.3,19.4,37.4,26.1,49.9
