states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Punjab,65.5,70.7,62.7,68.2,63.2,81.7,25,3,2013
Punjab,55.6,75.5,68.1,48.8,74.6,87.6,25,4,2013
Punjab,55.1,68.2,68.8,81.5,84.1,94.0,25,5,2014
Punjab,66.7,71.2,76.0,80.7,84.5,92.1,25,6,2014
Punjab,67.8,75.8,64.1,74.4,64.2,77.7,25,7,2015
Punjab,71.8,79.7,65.7,73.9,60.2,70.2,25,8,2015
Punjab,63.7,76.1,49.1,62.2,61.4,70.2,25,10,2016
Punjab,41.4,62.4,40.8,55.6,40.5,55.3,25,11,2017
Punjab,40.5,63.8,34.4,58.8,36.7,50.7,25,12,2018
Punjab,31.4,39.0,30.6,45.9,26.7,38.1,25,13,2018
