Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
18,Karnataka,7,2014,83.0,97.0,88.0,94.0,93.0,98.0
18,Karnataka,8,2015,87.5,95.5,84.9,96.7,91.2,97.1
18,Karnataka,9,2015,73.5,87.8,65.3,86.0,74.9,89.9
18,Karnataka,10,2016,70.6,82.9,59.1,75.8,74.5,83.8
18,Karnataka,11,2016,67.9,82.0,63.0,78.0,71.8,80.7
18,Karnataka,12,2017,75.0,88.0,88.0,90.0,74.0,84.0
18,Karnataka,13,2017,52.5,69.7,45.8,61.2,51.0,65.9
18,Karnataka,14,2018,47.4,64.8,41.8,56.1,44.2,56.3
18,Karnataka,15,2019,36.1,61.6,31.8,49.8,37.4,53.8
18,Karnataka,16,2019,26.2,48.1,20.8,39.5,24.8,44.1
