Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
20,Telangana,7,2014,77.4,94.9,83.4,94.5,77.5,95.3
20,Telangana,8,2015,88.7,94.7,78.4,89.2,86.9,93.5
20,Telangana,9,2015,81.7,84.7,74.1,91.5,84.7,94.8
20,Telangana,10,2016,66.8,76.7,57.4,71.4,65.5,74.3
20,Telangana,11,2017,61.9,77.8,56.4,69.0,57.9,79.3
20,Telangana,12,2017,73.0,86.9,60.0,72.3,65.1,81.5
20,Telangana,13,2018,55.9,75.9,44.3,69.7,53.1,74.4
20,Telangana,14,2018,49.2,78.3,37.7,63.4,52.6,76.7
20,Telangana,15,2019,53.4,82.5,46.6,75.9,54.5,82.7
20,Telangana,16,2019,57.0,79.3,48.3,75.8,57.9,78.9
