States/UT,Pre (N),Post (N),Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
Andhra Pradesh,501,326,98.6,97.9,96.2,96.6,98.6,100.0
Kerala,1305,1295,90.9,91.8,88.4,91.7,90.6,92.0
Chhattisgarh,93,68,78.5,100.0,68.8,100.0,74.2,100.0
Uttar Pradesh,570,339,84.2,90.3,91.9,90.0,93.0,97.9
Himachal Pradesh,103,144,96.1,95.8,97.1,97.2,96.1,96.5
Madhya Pradesh,401,398,92.5,99.5,90.8,97.7,92.5,97.5
Tamilnadu,547,500,97.6,98.8,92.7,97.6,97.4,98.8
Haryana,644,868,93.6,98.5,93.3,98.7,93.0,98.8
Odisha,21,21,28.6,90.5,23.8,90.5,19.0,85.7
Telangana,14,96,14.3,99.0,0.0,95.8,0.0,99.0
Maharashtra,283,240,92.2,100.0,91.9,100.0,91.5,100.0
Gujarat,379,562,100.0,100.0,98.7,94.3,93.1,95.0
Uttarakhand,44,44,93.2,95.5,93.2,95.5,100.0,100.0
Karnataka,370,339,94.1,99.4,94.9,99.4,94.3,99.4
Total,5275,5240,92.5,96.6,91.5,95.6,92.6,96.7
