Report Page,States/UT,Round,Year,Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
30,Goa,3,2013,47.4,82.1,64.3,86.1,54.4,86.0
30,Goa,4,2013,45.1,77.0,58.5,86.0,57.0,85.1
30,Goa,5,2014,85.9,98.9,77.1,96.3,51.7,90.1
30,Goa,6,2014,71.2,97.6,56.9,91.1,63.3,92.5
30,Goa,7,2015,65.3,93.0,67.8,98.1,76.4,98.6
30,Goa,11,2017,43.3,71.8,33.0,68.3,36.5,67.0
30,Goa,12,2017,43.5,64.8,29.8,55.8,33.0,58.0
30,Goa,13,2018,36.5,43.5,34.8,39.0,38.3,43.3
30,Goa,14,2018,31.3,49.8,26.3,41.0,38.5,48.5
30,Goa,15,2019,40.8,54.0,33.3,46.8,36.5,50.5
