states_ut,serotype_all_count_pre,serotype_all_count_post,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,serotype_o_count_pre_calculated,serotype_o_count_post_calculated,serotype_a_count_pre_calculated,serotype_a_count_post_calculated,serotype_asia1_count_pre_calculated,serotype_asia1_count_post_calculated
Andhra Pradesh,2119,2116,9.0,29.2,5.6,23.8,9.2,27.2,191,618,119,504,195,576
Tamil Nadu,2246,2246,37.0,70.3,27.5,60.8,27.8,61.8,831,1579,618,1366,624,1388
Karnataka,2300,2303,16.3,45.2,12.3,33.3,13.2,37.6,375,1041,283,767,304,866
Kerala,2145,2145,47.4,70.9,39.5,60.1,45.7,67.6,1017,1521,847,1289,980,1450
Telangana,2210,2210,20.7,52.4,14.5,49.1,20.5,55.0,457,1158,320,1085,453,1216
Maharashtra,4346,4359,17.5,36.3,14.4,29.5,16.2,32.3,761,1582,626,1286,704,1408
Gujarat,2223,2223,18.8,44.2,16.4,42.4,20.1,46.5,418,983,365,943,447,1034
Madhya Pradesh,4589,4589,10.0,28.4,8.7,21.4,9.3,24.1,459,1303,399,982,427,1106
Chhattisgarh,2152,2011,17.0,35.6,10.9,22.9,11.5,22.7,366,716,235,461,247,456
Odisha,2262,2262,12.7,36.0,8.8,20.5,7.3,17.8,287,814,199,464,165,403
Jharkhand,1506,492,9.0,29.1,3.4,13.2,4.7,16.7,136,143,51,65,71,82
Haryana,2267,2271,24.2,59.2,24.0,60.8,28.4,63.8,549,1344,544,1381,644,1449
Punjab,2198,886,11.5,22.7,18.9,16.7,18.1,23.6,253,201,415,148,398,209
Uttar Pradesh,7468,5975,9.9,28.7,7.5,18.2,8.6,22.1,739,1715,560,1087,642,1320
Himachal Pradesh,1504,2301,2.9,9.0,3.5,7.3,1.2,4.0,44,207,53,168,18,92
Jammu & Kashmir,1525,1276,17.4,35.3,9.2,23.1,10.3,19.3,265,450,140,295,157,246
Uttarakhand,1320,1291,4.2,24.3,3.8,17.5,3.0,23.1,55,314,50,226,40,298
Mizoram,838,838,10.5,30.4,8.9,26.5,10.9,28.8,88,255,75,222,91,241
Assam,1989,1401,9.3,16.0,2.0,6.9,1.3,6.2,185,224,40,97,26,87
Manipur,807,807,9.7,45.8,7.1,40.8,7.2,36.8,78,370,57,329,58,297
Sikkim,999,743,2.7,22.2,3.9,14.9,2.8,16.6,27,165,39,111,28,123
Meghalaya,586,586,14.0,41.6,7.0,34.5,16.9,32.4,82,244,41,202,99,190
Arunachal Pradesh,186,,2.7,,14.0,,1.1,,5,,26,,2,
Nagaland,726,419,13.2,6.0,6.2,12.9,4.3,9.5,96,25,45,54,31,40
Goa,735,735,34.1,49.1,27.6,43.3,34.4,42.7,251,361,203,318,253,314
Andaman,328,516,19.8,39.3,9.8,34.9,24.4,45.3,65,203,32,180,80,234
Delhi,200,191,39.5,81.2,47.5,74.9,40.5,77.5,79,155,95,143,81,148
Rajasthan,1188,1188,44.9,57.1,44.6,54.0,38.6,52.9,533,678,530,642,459,628
Pondichery,960,960,84.1,89.3,78.6,80.3,84.8,89.2,807,857,755,771,814,856
Total,53922,49340,17.6,39.0,14.4,31.6,15.8,34.0,9490,19243,7765,15591,8520,16776
