states_ut,region_code,diva_count_all,diva_count_positive,diva_pct,sample_year
Andhra Pradesh,AP,2200,536,24.36,2011
Arunachal Pradesh,AR,408,142,34.8,2011
Assam,AS,1900,606,31.89,2011
Bihar,BR,2300,632,27.48,2011
Gujarat,GJ,2280,918,40.26,2011
Haryana,HR,3870,322,8.32,2011
Himachal Pradesh,HP,1174,76,6.47,2011
Jammu & Kashmir,JK,816,115,14.09,2011
Karnataka,KA,3078,1789,58.12,2011
Kerala,KL,1000,228,22.8,2011
Madhya Pradesh,MP,3144,868,27.61,2011
Maharashtra,MH,1620,719,44.38,2011
Manipur,MN,900,186,20.67,2011
Meghalaya,ML,300,93,31.0,2011
Mizoram,MZ,880,240,27.27,2011
Nagaland,NL,3990,500,12.53,2011
Odisha,OD,2900,293,10.1,2011
Rajasthan,RJ,1967,723,36.76,2011
Tamil Nadu,TN,3000,863,28.77,2011
Tripura,TR,448,49,10.94,2011
Uttar Pradesh,UP,181,24,13.26,2011
Uttarakhand,UK,450,132,29.33,2011
West Bengal,WB,721,231,32.04,2011
Andhra Pradesh,AP,1650,382,23.15,2012
Arunachal Pradesh,AR,787,271,34.43,2012
Assam,AS,1200,294,24.5,2012
Bihar,BR,2078,662,31.86,2012
Gujarat,GJ,2341,962,41.09,2012
Haryana,HR,4200,295,7.02,2012
Himachal Pradesh,HP,380,34,8.95,2012
Jammu & Kashmir,JK,924,155,16.77,2012
Jharkhand,JH,911,322,35.35,2012
Karnataka,KA,2744,484,17.64,2012
Kerala,KL,1260,377,29.92,2012
Madhya Pradesh,MP,2665,761,28.56,2012
Maharashtra,MH,1430,312,21.82,2012
Manipur,MN,955,233,24.4,2012
Meghalaya,ML,100,23,23.0,2012
Mizoram,MZ,800,126,15.75,2012
Nagaland,NL,1121,454,40.5,2012
Odisha,OD,2527,863,34.15,2012
Punjab,PB,1700,194,11.41,2012
Rajasthan,RJ,3171,1269,40.02,2012
Tamil Nadu,TN,3100,1433,46.23,2012
Uttar Pradesh,UP,2917,573,19.64,2012
