states_ut,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_count_post,serotype_a_count_pre,serotype_a_count_post,serotype_asia1_count_pre,serotype_asia1_count_post,serotype_o_pct_pre_calculated,serotype_o_pct_post_calculated,serotype_a_pct_pre_calculated,serotype_a_pct_post_calculated,serotype_asia1_pct_pre_calculated,serotype_asia1_pct_post_calculated
Andhra Pradesh,2119,2116,191,618,119,504,196,576,9.0,29.2,5.6,23.8,9.2,27.2
Arunachal Pradesh,186,,5,,26,,2,,2.7,,14.0,,1.1,
Assam,1989,1401,184,224,39,96,26,87,9.3,16.0,2.0,6.9,1.3,6.2
Chhattisgarh,2152,2011,366,716,234,461,248,457,17.0,35.6,10.9,22.9,11.5,22.7
Goa,735,735,251,361,203,318,253,314,34.1,49.1,27.6,43.3,34.4,42.7
Gujarat,2223,2223,418,982,364,942,447,1033,18.8,44.2,16.4,42.4,20.1,46.5
Haryana,2267,2271,549,1345,545,1380,643,1448,24.2,59.2,24.0,60.8,28.4,63.8
Himachal Pradesh,625,1028,19,87,23,75,9,44,3.0,8.5,3.7,7.3,1.4,4.3
Jharkhand,1506,492,135,143,51,65,71,82,9.0,29.1,3.4,13.2,4.7,16.7
Karnataka,2300,2303,376,1042,284,766,304,865,16.3,45.2,12.3,33.3,13.2,37.6
Kerala,660,796,217,562,173,501,219,552,32.9,70.6,26.2,62.9,33.2,69.3
Maharashtra,4346,4359,761,1581,627,1285,705,1410,17.5,36.3,14.4,29.5,16.2,32.3
Mizoram,838,838,88,255,75,222,91,241,10.5,30.4,8.9,26.5,10.9,28.8
Manipur,807,807,78,370,57,329,58,297,9.7,45.8,7.1,40.8,7.2,36.8
Madhya Pradesh,4589,4589,458,1304,397,983,428,1108,10.0,28.4,8.7,21.4,9.3,24.1
Odisha,2262,2262,287,814,198,464,166,402,12.7,36.0,8.8,20.5,7.3,17.8
Punjab,2145,,244,,408,,390,,11.4,,19.0,,18.2,
Sikkim,921,390,21,103,35,65,22,84,2.3,26.4,3.8,16.7,2.4,21.5
Tamil Nadu,2246,2246,832,1578,618,1366,625,1388,37.0,70.3,27.5,60.8,27.8,61.8
Telangana,2210,2210,458,1157,321,1085,453,1215,20.7,52.4,14.5,49.1,20.5,55.0
Uttar Pradesh,7468,5975,738,1714,559,1086,642,1323,9.9,28.7,7.5,18.2,8.6,22.1
Uttarakhand,1320,1291,55,314,50,226,39,298,4.2,24.3,3.8,17.5,3.0,23.1
A&N Island,328,516,65,203,32,180,80,234,19.8,39.3,9.8,34.9,24.4,45.3
Delhi,200,191,79,155,95,143,81,148,39.5,81.2,47.5,74.9,40.5,77.5
Jammu & Kashmir,1525,1137,265,416,141,268,157,220,17.4,36.6,9.2,23.6,10.3,19.3
Total,47967,42187,7140,16044,5674,12810,6355,13826,14.9,38.0,11.8,30.4,13.2,32.8
