states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Karnataka,83.0,97.0,88.0,94.0,93.0,98.0,18,7,2014
Karnataka,87.5,95.5,84.9,96.7,91.2,97.1,18,8,2015
Karnataka,73.5,87.8,65.3,86.0,74.9,89.9,18,9,2015
Karnataka,70.6,82.9,59.1,75.8,74.5,83.8,18,10,2016
Karnataka,67.9,82.0,63.0,78.0,71.8,80.7,18,11,2016
Karnataka,75.0,88.0,88.0,90.0,74.0,84.0,18,12,2017
Karnataka,52.5,69.7,45.8,61.2,51.0,65.9,18,13,2017
Karnataka,47.4,64.8,41.8,56.1,44.2,56.3,18,14,2018
Karnataka,36.1,61.6,31.8,49.8,37.4,53.8,18,15,2019
Karnataka,26.2,48.1,20.8,39.5,24.8,44.1,18,16,2019
