states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Tamil Nadu,83.3,96.6,78.4,94.2,87.1,97.5,17,7,2014
Tamil Nadu,85.6,98.2,83.6,97.8,91.3,98.8,17,8,2015
Tamil Nadu,86.2,97.3,81.7,95.7,86.7,98.2,17,9,2015
Tamil Nadu,64.4,83.4,56.4,78.9,70.1,86.5,17,11,2016
Tamil Nadu,59.3,77.0,52.5,74.5,61.0,77.6,17,12,2017
Tamil Nadu,62.2,84.7,52.8,76.8,59.5,80.1,17,13,2017
Tamil Nadu,53.5,78.4,45.7,70.2,52.3,74.8,17,14,2018
Tamil Nadu,47.3,77.4,40.2,69.2,51.7,73.9,17,15,2018
Tamil Nadu,53.5,75.7,41.3,63.3,47.5,60.1,17,16,2019
Tamil Nadu,40.3,78.6,36.8,75.0,36.4,72.2,17,17,2019
