states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Telangana,77.4,94.9,83.4,94.5,77.5,95.3,20,7,2014
Telangana,88.7,94.7,78.4,89.2,86.9,93.5,20,8,2015
Telangana,81.7,84.7,74.1,91.5,84.7,94.8,20,9,2015
Telangana,66.8,76.7,57.4,71.4,65.5,74.3,20,10,2016
Telangana,61.9,77.8,56.4,69.0,57.9,79.3,20,11,2017
Telangana,73.0,86.9,60.0,72.3,65.1,81.5,20,12,2017
Telangana,55.9,75.9,44.3,69.7,53.1,74.4,20,13,2018
Telangana,49.2,78.3,37.7,63.4,52.6,76.7,20,14,2018
Telangana,53.4,82.5,46.6,75.9,54.5,82.7,20,15,2019
Telangana,57.0,79.3,48.3,75.8,57.9,78.9,20,16,2019
