states_ut,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_pct_pre,serotype_o_count_post,serotype_o_pct_post,serotype_a_count_pre,serotype_a_pct_pre,serotype_a_count_post,serotype_a_pct_post,serotype_asia1_count_pre,serotype_asia1_pct_pre,serotype_asia1_count_post,serotype_asia1_pct_post
Andhra Pradesh,501,326,494,98.6,319,97.9,482,96.2,315,96.6,494,98.6,326,100.0
Chhattisgarh,93,68,73,78.5,68,100.0,64,68.8,68,100.0,69,74.2,68,100.0
Gujarat,379,562,379,100.0,562,100.0,374,98.7,530,94.3,353,93.1,534,95.0
Haryana,644,868,603,93.6,855,98.5,601,93.3,857,98.7,599,93.0,858,98.8
Himachal Pradesh,103,144,99,96.1,138,95.8,100,97.1,140,97.2,99,96.1,139,96.5
Karnataka,370,339,348,94.1,337,99.4,351,94.9,337,99.4,349,94.3,337,99.4
Kerala,1305,1295,1186,90.9,1189,91.8,1154,88.4,1188,91.7,1182,90.6,1191,92.0
Madhya Pradesh,401,398,371,92.5,396,99.5,364,90.8,389,97.7,371,92.5,388,97.5
Maharashtra,283,240,261,92.2,240,100.0,260,91.9,240,100.0,259,91.5,240,100.0
Odisha,21,21,6,28.6,19,90.5,5,23.8,19,90.5,4,19.0,18,85.7
Tamil Nadu,547,500,534,97.6,494,98.8,507,92.7,488,97.6,533,97.4,494,98.8
Telangana,14,96,2,14.3,95,99.0,0,0.0,92,95.8,0,0.0,95,99.0
Uttar Pradesh,570,339,480,84.2,306,90.3,524,91.9,305,90.0,530,93.0,332,97.9
Uttarakhand,44,44,41,93.2,42,95.5,41,93.2,42,95.5,44,100.0,44,100.0
Total,5275,5240,4879,92.5,5062,96.6,4827,91.5,5009,95.6,4885,92.6,5062,96.6
