states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round_name,sample_year,report_year,test_type,test_threshold,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_count_post,serotype_a_count_pre,serotype_a_count_post,serotype_asia1_count_pre,serotype_asia1_count_post
A&N Island,21.3,49.9,23.0,52.6,29.9,60.7,31,15,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,41.5,62.2,45.8,79.3,50.0,74.3,31,16,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,42.3,69.2,58.0,82.0,55.0,78.0,31,17,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,62.9,82.3,67.9,85.9,82.3,92.3,31,18,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,60.6,73.1,63.8,87.9,72.7,86.7,31,19,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,14.6,33.9,16.4,28.8,24.4,37.8,31,20,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,17.7,34.3,14.9,19.4,19.1,38.8,31,21,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,18.6,40.9,15.8,37.2,20.9,44.1,31,22,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,21.8,40.4,12.7,27.3,22.7,43.3,31,23,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
A&N Island,25.1,55.2,9.6,46.9,29.7,61.8,31,24,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,72.3,86.8,55.3,82.2,69.0,87.1,19,8,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,52.9,71.9,37.0,58.8,47.9,71.8,19,9,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,61.9,75.7,50.2,66.8,54.9,69.1,19,10,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,51.4,63.8,35.8,54.0,44.2,63.0,19,11,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,48.9,60.3,30.3,45.0,45.9,60.8,19,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,35.6,55.8,30.7,51.6,40.0,60.0,19,13,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,35.7,58.5,28.2,50.3,38.7,56.6,19,14,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,45.0,75.7,31.0,66.0,46.5,72.4,19,15,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,43.1,70.5,29.6,57.7,47.3,68.4,19,16,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Andhra Pradesh,36.5,61.4,28.4,54.3,43.9,65.5,19,17,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Bihar,,11.0,,7.8,,4.8,27,4,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Bihar,3.6,9.3,2.4,7.2,2.2,5.6,27,5,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Bihar,0.0,4.6,0.0,3.8,0.0,2.7,27,7,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Chhattisgarh,29.2,43.9,17.3,31.4,27.9,39.3,21,1,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Chhattisgarh,34.3,46.9,17.8,34.2,34.8,50.5,21,2,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Chhattisgarh,24.4,47.6,16.5,30.7,20.8,46.8,21,3,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Chhattisgarh,28.2,50.9,20.3,42.3,23.9,44.3,21,4,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,47.4,82.1,64.3,86.1,54.4,86.0,30,3,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,45.1,77.0,58.5,86.0,57.0,85.1,30,4,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,85.9,98.9,77.1,96.3,51.7,90.1,30,5,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,71.2,97.6,56.9,91.1,63.3,92.5,30,6,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,65.3,93.0,67.8,98.1,76.4,98.6,30,7,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,43.3,71.8,33.0,68.3,36.5,67.0,30,11,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,43.5,64.8,29.8,55.8,33.0,58.0,30,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,36.5,43.5,34.8,39.0,38.3,43.3,30,13,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,31.3,49.8,26.3,41.0,38.5,48.5,30,14,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Goa,40.8,54.0,33.3,46.8,36.5,50.5,30,15,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,54.5,75.9,62.5,76.9,69.2,81.3,22,4,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,59.5,74.4,62.7,76.4,74.9,80.0,22,5,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,74.9,81.6,49.6,65.8,65.6,79.5,22,6,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,60.0,73.1,61.6,74.6,72.4,80.6,22,7,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,31.5,58.4,24.4,46.6,25.7,53.4,22,9,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,31.7,57.7,23.9,48.0,24.3,52.6,22,10,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Gujarat,26.0,44.0,19.8,35.4,25.3,43.1,22,11,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
