states_ut,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_pct_pre,serotype_o_count_post,serotype_o_pct_post,serotype_a_count_pre,serotype_a_pct_pre,serotype_a_count_post,serotype_a_pct_post,serotype_asia1_count_pre,serotype_asia1_pct_pre,serotype_asia1_count_post,serotype_asia1_pct_post,sample_year,report_year,round_name,test_type,test_threshold
Andhra Pradesh,429,480,360,83.9,462,96.3,311,72.5,417,86.9,364,84.8,443,92.3,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Chhattisgarh,83,82,54,65.1,65,79.3,51,61.4,72,87.8,48,57.8,55,67.1,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Gujarat,340,159,215,63.2,151,95.0,182,53.5,126,79.2,215,63.2,123,77.4,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Haryana,1283,1574,1153,89.9,1508,95.8,1023,79.7,1454,92.4,1142,89.0,1506,95.7,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Himachal Pradesh,64,64,54,84.4,59,92.2,34,53.1,52,81.3,21,32.8,35,54.7,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Kerala,882,901,745,84.5,834,92.6,644,73.0,782,86.8,754,85.5,825,91.6,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Madhya Pradesh,402,601,268,66.7,545,90.7,246,61.2,475,79.0,315,78.4,548,91.2,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Tamil Nadu,105,105,92,87.6,102,97.1,73,69.5,101,96.2,81,77.1,98,93.3,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Uttar Pradesh,240,169,173,72.1,141,83.4,167,69.6,123,72.8,214,89.2,148,87.6,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
West Bengal,110,110,97,88.2,104,94.5,101,91.8,107,97.3,103,93.6,107,97.3,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Total,3938,4245,3213,81.6,3973,93.6,2831,71.9,3710,87.4,3257,82.7,3888,91.6,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Andhra Pradesh,501,326,494,98.6,319,97.9,482,96.2,315,96.6,494,98.6,326,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Chhattisgarh,93,68,73,78.5,68,100.0,64,68.8,68,100.0,69,74.2,68,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Gujarat,379,562,379,100.0,562,100.0,374,98.7,530,94.3,353,93.1,534,95.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Haryana,644,868,603,93.6,855,98.5,601,93.3,857,98.7,599,93.0,858,98.8,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Himachal Pradesh,103,144,99,96.1,138,95.8,100,97.1,140,97.2,99,96.1,139,96.5,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Karnataka,370,339,348,94.1,337,99.4,351,94.9,337,99.4,349,94.3,337,99.4,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Kerala,1305,1295,1186,90.9,1189,91.8,1154,88.4,1188,91.7,1182,90.6,1191,92.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Madhya Pradesh,401,398,371,92.5,396,99.5,364,90.8,389,97.7,371,92.5,388,97.5,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Maharashtra,283,240,261,92.2,240,100.0,260,91.9,240,100.0,259,91.5,240,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Odisha,21,21,6,28.6,19,90.5,5,23.8,19,90.5,4,19.0,18,85.7,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Tamil Nadu,547,500,534,97.6,494,98.8,507,92.7,488,97.6,533,97.4,494,98.8,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Telangana,14,96,2,14.3,95,99.0,0,0.0,92,95.8,0,0.0,95,99.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Uttar Pradesh,570,339,480,84.2,306,90.3,524,91.9,305,90.0,530,93.0,332,97.9,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Uttarakhand,44,44,41,93.2,42,95.5,41,93.2,42,95.5,44,100.0,44,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Total,5275,5240,4879,92.5,5062,96.6,4827,91.5,5009,95.6,4885,92.6,5062,96.6,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Andhra Pradesh,429,480,360,83.9,462,96.3,311,72.5,417,86.9,364,84.8,443,92.3,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Chhattisgarh,83,82,54,65.1,65,79.3,51,61.4,72,87.8,48,57.8,55,67.1,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Gujarat,340,159,215,63.2,151,95.0,182,53.5,126,79.2,215,63.2,123,77.4,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Haryana,1283,1574,1153,89.9,1508,95.8,1023,79.7,1454,92.4,1142,89.0,1506,95.7,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Himachal Pradesh,64,64,54,84.4,59,92.2,34,53.1,52,81.3,21,32.8,35,54.7,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Kerala,882,901,745,84.5,834,92.6,644,73.0,782,86.8,754,85.5,825,91.6,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Madhya Pradesh,402,601,268,66.7,545,90.7,246,61.2,475,79.0,315,78.4,548,91.2,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Tamil Nadu,105,105,92,87.6,102,97.1,73,69.5,101,96.2,81,77.1,98,93.3,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Uttar Pradesh,240,169,173,72.1,141,83.4,167,69.6,123,72.8,214,89.2,148,87.6,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
West Bengal,110,110,97,88.2,104,94.5,101,91.8,107,97.3,103,93.6,107,97.3,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Total,3938,4245,3213,81.6,3973,93.6,2831,71.9,3710,87.4,3257,82.7,3888,91.6,2021,2021,Organized farms,SPCE,1.8 log10 @ 50% inhibition
Andhra Pradesh,501,326,494,98.6,319,97.9,482,96.2,315,96.6,494,98.6,326,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Chhattisgarh,93,68,73,78.5,68,100.0,64,68.8,68,100.0,69,74.2,68,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Gujarat,379,562,379,100.0,562,100.0,374,98.7,530,94.3,353,93.1,534,95.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Haryana,644,868,603,93.6,855,98.5,601,93.3,857,98.7,599,93.0,858,98.8,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Himachal Pradesh,103,144,99,96.1,138,95.8,100,97.1,140,97.2,99,96.1,139,96.5,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Karnataka,370,339,348,94.1,337,99.4,351,94.9,337,99.4,349,94.3,337,99.4,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Kerala,1305,1295,1186,90.9,1189,91.8,1154,88.4,1188,91.7,1182,90.6,1191,92.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Madhya Pradesh,401,398,371,92.5,396,99.5,364,90.8,389,97.7,371,92.5,388,97.5,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Maharashtra,283,240,261,92.2,240,100.0,260,91.9,240,100.0,259,91.5,240,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Odisha,21,21,6,28.6,19,90.5,5,23.8,19,90.5,4,19.0,18,85.7,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Tamil Nadu,547,500,534,97.6,494,98.8,507,92.7,488,97.6,533,97.4,494,98.8,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Telangana,14,96,2,14.3,95,99.0,0,0.0,92,95.8,0,0.0,95,99.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Uttar Pradesh,570,339,480,84.2,306,90.3,524,91.9,305,90.0,530,93.0,332,97.9,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Uttarakhand,44,44,41,93.2,42,95.5,41,93.2,42,95.5,44,100.0,44,100.0,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
Total,5275,5240,4879,92.5,5062,96.6,4827,91.5,5009,95.6,4885,92.6,5062,96.6,2022,2022,Organized farms,SPCE,1.65 log10 @ 35% inhibition
