states_ut,serotype_all_count_pre,serotype_all_count_post,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,serotype_o_count_pre_calculated,serotype_o_count_post_calculated,serotype_a_count_pre_calculated,serotype_a_count_post_calculated,serotype_asia1_count_pre_calculated,serotype_asia1_count_post_calculated,sample_year,report_year,round,test_type,test_threshold
Haryana,2289,2285,36.4,68.8,34.7,67.9,43.2,72.9,833,1572,794,1552,989,1666,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Maharashtra,1079,611,14.1,67.9,18.8,68.2,16.5,65.3,152,415,203,417,178,399,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Delhi,234,230,73.1,88.7,65.0,86.1,65.0,89.6,171,204,152,198,152,206,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Uttar Pradesh,879,,38.0,,18.1,,36.5,,334,,159,,321,,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Kamataka,1196,1213,60.3,88.1,56.0,88.1,55.4,86.3,721,1069,670,1069,663,1047,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Jammu & Kashmir,487,,38.4,,26.1,,17.5,,187,,127,,85,,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Chandigarh,200,200,35.5,75.5,32.0,68.0,40.0,79.0,71,151,64,136,80,158,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Andhra Pradesh,2722,2716,19.7,41.5,19.5,46.5,22.9,49.2,536,1127,531,1263,623,1336,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
A&N Island,364,,16.8,,7.1,,17.6,,61,,26,,64,,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Himachal Pradesh,,324,,71.6,,65.4,,72.8,,232,,212,,236,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
Total,9450,7579,32.5,62.9,28.8,63.9,33.4,66.6,3071,4767,2722,4843,3156,5048,2021,2021,NADCP 2,SPCE,1.65 log10 @ 50% inhibition
