Farm,States/UT,Pre (N),Post (N),Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
"KLDB,Kulathupuzha",Kerala,43,43,79.1,90.7,62.8,90.7,81.4,90.7
"KLDB,Kulathupuzha",Kerala,79,79,73.4,98.7,68.4,91.1,92.4,100
"KLDB,Kulathupuzha",Kerala,68,68,94.1,100,89.7,100,98.5,100
"KLDB,Kulathupuzha",Kerala,119,119,57.1,63.9,54.6,63,56.3,64.7
"KLDB,Dhoni",Kerala,110,110,91.8,100,92.7,96.4,98.2,100
"KLDB,Dhoni",Kerala,109,109,93.6,96.3,90.8,94.5,93.6,99.1
"KLDB,Dhoni",Kerala,106,107,92.5,99.1,83,98.1,97.2,98.1
"KLDB,Mattupatty",Kerala,54,54,81.5,96.3,68.5,94.4,92.6,98.1
"KLDB,Mattupatty",Kerala,84,84,89.3,95.2,82.1,94,91.7,98.8
"KLDB,Mattupatty",Kerala,70,71,94.3,95.8,81.4,95.8,90,97.2
"KLDB,Mattupatty",Kerala,69,68,95.7,100,95.7,100,98.6,98.5
"KLDB,Palakkad",Kerala,109,109,93.6,96.3,90.8,94.5,93.6,99.1
"APLDA,Banavasi",AP,91,91,68.1,94.5,63.7,85.7,74.7,86.8
"APLDA,Banavasi",AP,90,80,78.9,92.5,77.8,90,90,95
"APLDA,Visakhapatnam",AP,60,59,75,96.6,68.3,93.2,88.3,96.6
"APLDA,Nandyal",AP,56,55,83.9,96.4,87.5,90.9,91.1,100
"APLDA,Nandyal",AP,42,40,97.6,95,92.9,90,100,100
"CBF,Anjora",Chhattisgarh,25,25,64,92,40,92,76,96
"CSS,Bhopal",MP,201,202,69.7,91.6,63.7,88.1,79.6,95
