States/UT,Pre (N),Post (N),Serotype O (%) Pre,Serotype O (%) Post,Serotype A (%) Pre,Serotype A (%) Post,Serotype Asia1 (%) Pre,Serotype Asia1 (%) Post
Haryana,1283,1574,89.9,95.8,79.7,92.4,89.0,95.7
HP,64,64,84.4,92.2,53.1,81.3,32.8,54.7
AP,429,480,83.9,96.3,72.5,86.9,84.8,92.3
MP,402,601,66.7,90.7,61.2,79.0,78.4,91.2
Chhattisgarh,83,82,65.1,79.3,61.4,87.8,57.8,67.1
UP,240,169,72.1,83.4,69.6,72.8,89.2,87.6
Gujarat,340,159,63.2,95.0,53.5,79.2,63.2,77.4
Tamilnadu,105,105,87.6,97.1,69.5,96.2,77.1,93.3
Kerala,882,901,84.5,92.6,73.0,86.8,85.5,91.6
West Bengal,110,110,88.2,94.5,91.8,97.3,93.6,97.3
Total,3938,4245,81.5,93.5,71.9,87.4,82.7,91.6
