"","state","n_tested","n_positive","diva_percent","year"
"1","Andhra Pradesh",2200,536,24.36363636,2011
"2","Arunachal Pradesh",408,142,34.80392157,2011
"3","Assam",1900,606,31.89473684,2011
"4","Bihar",2300,632,27.47826087,2011
"5","Gujarat",2280,918,40.26315789,2011
"6","Haryana",3870,322,8.320413437,2011
"7","Himachal Pradesh",1174,76,6.473594549,2011
"8","Jammu and Kashmir",816,115,14.09313725,2011
"9","Karnataka",3078,1789,58.12215724,2011
"10","Kerala",1000,228,22.8,2011
"11","Madhya Pradesh",3144,868,27.60814249,2011
"12","Maharashtra",1620,719,44.38271605,2011
"13","Manipur",900,186,20.66666667,2011
"14","Meghalaya",300,93,31,2011
"15","Mizoram",880,240,27.27272727,2011
"16","Nagaland",3990,500,12.53132832,2011
"17","Odisha",2900,293,10.10344828,2011
"18","Rajasthan",1967,723,36.75648195,2011
"19","Tamil Nadu",3000,863,28.76666667,2011
"20","Tripura",448,49,10.9375,2011
"21","Uttar Pradesh",181,24,13.25966851,2011
"22","Uttarakhand",450,132,29.33333333,2011
"23","West Bengal",721,231,32.03883495,2011
"24","Andhra Pradesh",1650,382,23.15151515,2012
"25","Arunachal Pradesh",787,271,34.43456163,2012
"26","Assam",1200,294,24.5,2012
"27","Bihar",2078,662,31.85755534,2012
"28","Gujarat",2341,962,41.09354977,2012
"29","Haryana",4200,295,7.023809524,2012
"30","Himachal Pradesh",380,34,8.947368421,2012
"31","Jammu and Kashmir",924,155,16.77489177,2012
"32","Jharkhand",911,322,35.34577387,2012
"33","Karnataka",2744,484,17.63848397,2012
"34","Kerala",1260,377,29.92063492,2012
"35","Madhya Pradesh",2665,761,28.55534709,2012
"36","Maharashtra",1430,312,21.81818182,2012
"37","Manipur",955,233,24.39790576,2012
"38","Meghalaya",100,23,23,2012
"39","Mizoram",800,126,15.75,2012
"40","Nagaland",1121,454,40.49955397,2012
"41","Odisha",2527,863,34.15116739,2012
"42","Punjab",1700,194,11.41176471,2012
"43","Rajasthan",3171,1269,40.01892148,2012
"44","Tamil Nadu",3100,1433,46.22580645,2012
"45","Uttar Pradesh",2917,573,19.64346932,2012
"46","West Bengal",1077,265,24.60538533,2012
"47","Andhra Pradesh",2186,936,42.8179323,2013
"48","Arunachal Pradesh",891,257,28.84399551,2013
"49","Assam",2600,459,17.65384615,2013
"50","Bihar",2251,820,36.42825411,2013
"51","Gujarat",2500,1512,60.48,2013
"52","Haryana",4200,87,2.071428571,2013
"53","Himachal Pradesh",1200,154,12.83333333,2013
"54","Jammu and Kashmir",1401,261,18.62955032,2013
"55","Jharkhand",556,188,33.81294964,2013
"56","Karnataka",2991,631,21.0966232,2013
"57","Kerala",1260,559,44.36507937,2013
"58","Madhya Pradesh",4558,1336,29.31110136,2013
"59","Maharashtra",2962,1434,48.4132343,2013
"60","Manipur",900,255,28.33333333,2013
"61","Mizoram",550,41,7.454545455,2013
"62","Nagaland",3027,977,32.27618104,2013
"63","Odisha",3326,1381,41.52134696,2013
"64","Punjab",1900,230,12.10526316,2013
"65","Rajasthan",5600,2094,37.39285714,2013
"66","Tamil Nadu",3050,609,19.96721311,2013
"67","Tripura",1146,95,8.289703316,2013
"68","Uttar Pradesh",1023,577,56.40273705,2013
"69","Uttarakhand",447,143,31.99105145,2013
"70","West Bengal",360,117,32.5,2013
"71","Andhra Pradesh",4400,1342,30.5,2014
"72","Arunachal Pradesh",85,12,14.11764706,2014
